lecture_id,filename,title,video_id,youtube_url,view_count,like_count,comment_count,engagement_rate
01,01_【これだけ押さえればOK！】 Brainのセンターピン.mp4,【これだけ押さえればOK！】 Brainのセンターピン,NOT_FOUND,N/A,0,0,0,0
02,02_【超重要！】コンテンツ販売必須の基礎知識.mp4,【超重要！】コンテンツ販売必須の基礎知識,AtPI1tw6ctc,https://www.youtube.com/watch?v=AtPI1tw6ctc,1802895,41582,174,2.32
03,03_初級編の全体的な流れ.mp4,初級編の全体的な流れ,FuOaGeNrpBk,https://www.youtube.com/watch?v=FuOaGeNrpBk,879789,19893,314,2.3
04,04_【初心者でもOK！】売れるコンテンツ制作の方法.mp4,【初心者でもOK！】売れるコンテンツ制作の方法,Iaxepk9w7OI,https://www.youtube.com/watch?v=Iaxepk9w7OI,386,7,0,1.81
05,05_【実演編】コンテンツ制作の流れ.mp4,【実演編】コンテンツ制作の流れ,zvFCvBdOi44,https://www.youtube.com/watch?v=zvFCvBdOi44,1355,14,0,1.03
06,06_Brainサムネの6要素.mp4,Brainサムネの6要素,9R3o9gAAfmc,https://www.youtube.com/watch?v=9R3o9gAAfmc,200851,1574,24,0.8
07,07_Brainのサムネを安く抑える方法.mp4,Brainのサムネを安く抑える方法,MKYIVZLR-yA,https://www.youtube.com/watch?v=MKYIVZLR-yA,331,23,1,7.25
08,08_簡単にサムネイルを制作する方法.mp4,簡単にサムネイルを制作する方法,L3jzl9C6Hnw,https://www.youtube.com/watch?v=L3jzl9C6Hnw,34207,629,18,1.89
09,09_seaartの使い方.mp4,seaartの使い方,Ci4ySRp0AKM,https://www.youtube.com/watch?v=Ci4ySRp0AKM,35797,526,64,1.65
10,10_【99%が知らない】Brain販売戦略とアルゴリズム.mp4,【99%が知らない】Brain販売戦略とアルゴリズム,9d_hLqtISRo,https://www.youtube.com/watch?v=9d_hLqtISRo,5369,94,5,1.84
11,11_【LTV上昇】公式LINEへの誘導と公式LINE内での施策.mp4,【LTV上昇】公式LINEへの誘導と公式LINE内での施策,or76DLP2I24,https://www.youtube.com/watch?v=or76DLP2I24,195,6,0,3.08
12,12_Brain記事の出し方.mp4,Brain記事の出し方,z7V0TwNFZPA,https://www.youtube.com/watch?v=z7V0TwNFZPA,9273,152,5,1.69
13,13_【誰でもできる！】公式LINEアカウントの開設方法.mp4,【誰でもできる！】公式LINEアカウントの開設方法,NEPEXtfrttA,https://www.youtube.com/watch?v=NEPEXtfrttA,63884,987,15,1.57
14,14_【登録率倍増！】特典の記載とLINE追加URLの発行方法.mp4,【登録率倍増！】特典の記載とLINE追加URLの発行方法,vd_IUibWKbI,https://www.youtube.com/watch?v=vd_IUibWKbI,4574730,150067,689,3.3
15,15_【コピペでOK！】オプトインアフィで収益を得る.mp4,【コピペでOK！】オプトインアフィで収益を得る,h8Au4MC-BHs,https://www.youtube.com/watch?v=h8Au4MC-BHs,876346,9935,73,1.14
16,16_【BANに強い！】タイ版公式LINE垢の作成方法（※直近では有効性確認できません）.mp4,【BANに強い！】タイ版公式LINE垢の作成方法（※直近では有効性確認できません）,PKszrEEm7z8,https://www.youtube.com/watch?v=PKszrEEm7z8,1529,36,3,2.55
17,17_クラウドワークスで外注を募集する方法.mp4,クラウドワークスで外注を募集する方法,e7W7iLFfd0o,https://www.youtube.com/watch?v=e7W7iLFfd0o,1704,18,0,1.06
18,18_クラウドワークス外注（応募〜契約までの流れ）.mp4,クラウドワークス外注（応募〜契約までの流れ）,WLrSXvOEcB4,https://www.youtube.com/watch?v=WLrSXvOEcB4,8429,33,0,0.39
19,19_外注から記事納品の際に意識するべきこと.mp4,外注から記事納品の際に意識するべきこと,4cnT-SSx9sQ,https://www.youtube.com/watch?v=4cnT-SSx9sQ,594,14,0,2.36
20,20_Brainアルゴリズムの最新情報.mp4,Brainアルゴリズムの最新情報,I4R3zy-HB4k,https://www.youtube.com/watch?v=I4R3zy-HB4k,725524,7057,178,1.0
21,21_Brain再出品する際に注意すること.mp4,Brain再出品する際に注意すること,67KIRHW0GVw,https://www.youtube.com/watch?v=67KIRHW0GVw,114166,701,41,0.65
